age_months,L,mean_height,S,StDev,SD5neg,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,age,sex
170,1,164.2717,0.04701,7.7224,125.66,133.382,141.104,148.827,156.549,164.272,171.994,179.717,187.439,195.161,14,0
171,1,164.7994,0.04694,7.7357,126.121,133.857,141.592,149.328,157.064,164.799,172.535,180.271,188.006,195.742,14,0
172,1,165.3145,0.04687,7.7483,126.573,134.321,142.07,149.818,157.566,165.314,173.063,180.811,188.559,196.308,14,0
173,1,165.8165,0.04679,7.7586,127.024,134.782,142.541,150.299,158.058,165.816,173.575,181.334,189.092,196.851,14,0
174,1,166.305,0.04671,7.7681,127.464,135.233,143.001,150.769,158.537,166.305,174.073,181.841,189.609,197.377,14,0
175,1,166.7799,0.04663,7.7769,127.895,135.672,143.449,151.226,159.003,166.78,174.557,182.334,190.111,197.888,14,0
176,1,167.2415,0.04655,7.7851,128.316,136.101,143.886,151.671,159.456,167.242,175.027,182.812,190.597,198.382,14,0
177,1,167.6899,0.04646,7.7909,128.736,136.526,144.317,152.108,159.899,167.69,175.481,183.272,191.063,198.853,14,0
178,1,168.1255,0.04637,7.796,129.146,136.942,144.738,152.534,160.33,168.126,175.921,183.717,191.513,199.309,14,0
179,1,168.5482,0.04628,7.8004,129.546,137.347,145.147,152.947,160.748,168.548,176.349,184.149,191.949,199.75,14,0
180,1,168.958,0.04619,7.8042,129.937,137.741,145.545,153.35,161.154,168.958,176.762,184.566,192.371,200.175,15,0
181,1,169.3549,0.04609,7.8056,130.327,138.133,145.938,153.744,161.549,169.355,177.16,184.966,192.772,200.577,15,0
182,1,169.7389,0.04599,7.8063,130.707,138.514,146.32,154.126,161.933,169.739,177.545,185.351,193.158,200.964,15,0
183,1,170.1099,0.04589,7.8063,131.078,138.885,146.691,154.497,162.304,170.11,177.916,185.723,193.529,201.335,15,0
184,1,170.468,0.04579,7.8057,131.439,139.245,147.051,154.857,162.662,170.468,178.274,186.079,193.885,201.691,15,0
185,1,170.8136,0.04569,7.8045,131.791,139.596,147.4,155.205,163.009,170.814,178.618,186.423,194.227,202.031,15,0
186,1,171.1468,0.04559,7.8026,132.134,139.936,147.739,155.542,163.344,171.147,178.949,186.752,194.555,202.357,15,0
187,1,171.468,0.04548,7.7984,132.476,140.275,148.073,155.871,163.67,171.468,179.266,187.065,194.863,202.661,15,0
188,1,171.7773,0.04538,7.7953,132.801,140.596,148.392,156.187,163.982,171.777,179.573,187.368,195.163,202.958,15,0
189,1,172.0748,0.04527,7.7898,133.126,140.915,148.705,156.495,164.285,172.075,179.865,187.654,195.444,203.234,15,0
190,1,172.3606,0.04516,7.7838,133.442,141.225,149.009,156.793,164.577,172.361,180.144,187.928,195.712,203.496,15,0
191,1,172.6345,0.04506,7.7789,133.74,141.519,149.298,157.077,164.856,172.634,180.413,188.192,195.971,203.75,15,0
192,1,172.8967,0.04495,7.7717,134.038,141.81,149.582,157.353,165.125,172.897,180.668,188.44,196.212,203.984,16,0
193,1,173.147,0.04484,7.7639,134.327,142.091,149.855,157.619,165.383,173.147,180.911,188.675,196.439,204.203,16,0
194,1,173.3856,0.04473,7.7555,134.608,142.363,150.119,157.875,165.63,173.386,181.141,188.897,196.652,204.408,16,0
195,1,173.6126,0.04462,7.7466,134.88,142.626,150.373,158.119,165.866,173.613,181.359,189.106,196.852,204.599,16,0
196,1,173.828,0.04451,7.7371,135.143,142.88,150.617,158.354,166.091,173.828,181.565,189.302,197.039,204.776,16,0
197,1,174.0321,0.0444,7.727,135.397,143.124,150.851,158.578,166.305,174.032,181.759,189.486,197.213,204.94,16,0
198,1,174.2251,0.04429,7.7164,135.643,143.359,151.076,158.792,166.509,174.225,181.942,189.658,197.374,205.091,16,0
199,1,174.4071,0.04418,7.7053,135.881,143.586,151.291,158.996,166.702,174.407,182.112,189.818,197.523,205.228,16,0
200,1,174.5784,0.04407,7.6937,136.11,143.804,151.497,159.191,166.885,174.578,182.272,189.966,197.659,205.353,16,0
201,1,174.7392,0.04396,7.6815,136.332,144.013,151.695,159.376,167.058,174.739,182.421,190.102,197.784,205.465,16,0
202,1,174.8896,0.04385,7.6689,136.545,144.214,151.883,159.552,167.221,174.89,182.559,190.227,197.896,205.565,16,0
203,1,175.0301,0.04375,7.6576,136.742,144.4,152.057,159.715,167.373,175.03,182.688,190.345,198.003,205.66,16,0
204,1,175.1609,0.04364,7.644,136.941,144.585,152.229,159.873,167.517,175.161,182.805,190.449,198.093,205.737,17,0
205,1,175.2824,0.04353,7.63,137.132,144.762,152.392,160.022,167.652,175.282,182.912,190.542,198.173,205.803,17,0
206,1,175.3951,0.04343,7.6174,137.308,144.925,152.543,160.16,167.778,175.395,183.013,190.63,198.247,205.865,17,0
207,1,175.4995,0.04332,7.6026,137.486,145.089,152.692,160.294,167.897,175.5,183.102,190.705,198.307,205.91,17,0
